,PID,SPI,PDS,PID_kmeans
4529,JE-CRC301-FI-030502B,C301PSV  190006,,2
4530,JE-CRC301-FT-080011,C301PT   010214,,2
4531,JE-CRC301-FO-080090,C301PI   010214,,2
4532,JE-CRC301-FV-160025,C301PT   010215,,2
4533,JE-CRC301-TT-180032A,C301FT   010119,,5
4534,JE-CRC301-XZSO-050010B,C301PI   010215,,2
4535,JE-CRC301-TE-030118,C301FIC  010119,,1
4536,JE-CRC301-UZ-17903,C301PT   010216,,2
4537,JE-CRC301-FE-110021,C301PI   010216,,6
4538,JE-CRC301-PG-160054,C301PT   010217,,2
4539,JE-CRC301-TT-160046,C301PI   010217,,5
4540,JE-CRC301-FQI-400046,C301PT   010218,,2
4541,JE-CRC301-FI-177096,C301TY   010165,,2
4542,JE-CRC301-LT-140031,C301PI   010218,,2
4543,JE-CRC301-M-130004B,C301PT   010219,,2
4544,JE-CRC301-TT-030008,C301PDT  190007,,5
4545,JE-CRC301-LHS-170016,C301PDI  190007,,2
4546,JE-CRC301-LI-090031,C301PI   010219,,2
4547,JE-CRC301-AT-050004,C301PT   010220,,2
4548,JE-CRC301-UZ-17205,C301PI   010220,,2
4549,JE-CRC301-LIC-030044,C301PT   140006,,2
4550,JE-CRC301-TI-040024,C301PIC  140006,,2
4551,JE-CRC301-LT-030017B,C301PV   140006,,2
4552,JE-CRC301-PSV-170084B,C301PT   010261,,4
4553,JE-CRC301-UZ-09008,C301PI   010261,,2
4554,JE-CRC301-TE-190016,C301PG   010160,,1
4555,JE-CRC301-LHS-140026,C301PT   010262,,2
4556,JE-CRC301-PDG-040013,C301PG   190005,,2
4557,JE-CRC301-LT-190016A,C301PG   010191,,2
4558,JE-CRC301-LG-200006,C301TW   140009,,2
4559,JE-CRC301-TI-150029,C301TE   140009,,2
4560,JE-CRC301-TI-150070,C301TT   140009,,2
4561,JE-CRC301-AE-040003C,C301TI   140009,,2
4562,JE-CRC301-FO-120044,C301PI   010262,,2
4563,JE-CRC301-T-177001,C301PT   190001,,2
4564,JE-CRC301-TI-050052,C301PI   190001,,2
4565,JE-CRC301-TI-060001BJ,C301PT   010263,,2
4566,JE-CRC301-FI-090653A,C301PI   010263,,2
4567,JE-CRC301-TE-160011B,C301PT   010264,,1
4568,JE-CRC301-PG-130007,C301PI   010264,,2
4569,JE-CRC301-PI-060031,C301PT   010265,,7
4570,JE-CRC301-HIC-120063,C301PI   010265,,2
4571,JE-CRC301-EV-190014,C301PG   010192,,2
4572,JE-CRC301-PG-177078,C301PT   010266,,2
4573,JE-CRC301-PDT-160101,C301PI   010266,,2
4574,JE-CRC301-PI-180502B,C301PT   010267,,7
4575,JE-CRC301-TG-020080,C301PI   010267,,2
4576,JE-CRC301-TE-040087A,C301PT   010268,,1
4577,JE-CRC301-TT-080119B,C301PI   010268,,5
4578,JE-CRC301-FV-170004,C301PT   190003,,2
4579,JE-CRC301-TT-173001AJ,C301PI   190003,,5
4580,JE-CRC301-PG-060029,C301PT   010269,,2
4581,JE-CRC301-LT-120028A,C301PI   010269,,2
4582,JE-CRC301-PSV-090090,C301PT   010270,,4
4583,JE-CRC301-TT-120004BB,C301PI   010270,,5
4584,JE-CRC301-TI-040035,C301FO   010166,,2
4585,JE-CRC301-XV-140009,C301FE   010163,,2
4586,JE-CRC301-UZ-12003,C301XV   140011,,2
4587,JE-CRC301-PT-030093C,C301XY   140011,,3
4588,JE-CRC301-TE-030093,C301XZSO 140011,,1
4589,JE-CRC301-FQI-400071,C301XZLO 140011,,2
4590,JE-CRC301-PG-020064,C301XZSC 140011,,2
4591,JE-CRC301-TT-172046B,C301XZLC 140011,,5
4592,JE-CRC301-PI-110017,C301FT   010163,,7
4593,JE-CRC301-FV-160023,C301FI   010163,,2
4594,JE-CRC301-PV-090038,C301FY   010163,,2
4595,JE-CRC301-VT-020001B3,C301PT   010271,,2
4596,JE-CRC301-TI-090654A,C301PI   010271,,2
4597,JE-CRC301-HS-180005B,C301PT   010272,,2
4598,JE-CRC301-PT-180032,C301PT   140007,,3
4599,JE-CRC301-AE-200004,C301PI   140007,,2
4600,JE-CRC301-TE-120030,C301PI   010272,,1
4601,JE-CRC301-PIC-110070,C301PT   010273,,2
4602,JE-CRC301-TT-080162A,C301PI   010273,,5
4603,JE-CRC301-TE-190046,C301PT   010274,,1
4604,JE-CRC301-TG-030143,C301PI   010274,,2
4605,JE-CRC301-PG-080050,C301PT   010275,,2
4606,JE-CRC301-LG-120021,C301FFIC 010165,,2
4607,JE-CRC301-AI-030014,C301PI   010275,,2
4608,JE-CRC301-MII-190002B,C301PT   010276,,2
4609,JE-CRC301-TT-020052,C301PI   010276,,5
4610,JE-CRC301-AI-030039D,C301TW   140010,,2
4611,JE-CRC301-TT-190079,C301TE   140010,,5
4612,JE-CRC301-VT-020001D,C301PT   010277,,2
4613,JE-CRC301-PT-175002,C301TT   140010,,3
4614,JE-CRC301-TT-030102,C301TI   140010,,5
4615,JE-CRC301-PY-020029B,C301FE   010164,,2
4616,JE-CRC301-TI-172022,C301PI   010277,,2
4617,JE-CRC301-XV-090016,C301PT   010278,,2
4618,JE-CRC301-PSV-160050B,C301PI   010278,,4
4619,JE-CRC301-PT-090023,C301FT   010164,,3
4620,JE-CRC301-PSV-110033B,C301PT   010279,,4
4621,JE-CRC301-PDG-179493,C301PI   010279,,2
4622,JE-CRC301-AI-400001D,C301FI   010164,,2
4623,JE-CRC301-TE-050038,C301PT   010280,,1
4624,JE-CRC301-FIC-200004,C301FY   010164,,2
4625,JE-CRC301-LT-030008B,C301PI   010280,,2
4626,JE-CRC301-PG-050062,C301TW   140011,,2
4627,JE-CRC301-FI-090501B,C301TE   140011,,2
4628,JE-CRC301-XY-030009S1,C301TT   140011,,2
4629,JE-CRC301-PG-210013,C301TI   140011,,2
4630,JE-CRC301-HV-170002,C301PG   010151,,2
4631,JE-CRC301-FT-170003,C301PG   010150,,2
4632,JE-CRC301-LHS-130033,C301PDT  190013,,2
4633,JE-CRC301-FI-190J07,C301PDI  190013,,2
4634,JE-CRC301-FV-040008,C301PG   190011,,2
4635,JE-CRC301-PDT-130031,C301PSV  190012,,2
4636,JE-CRC301-FY-130027,C301PT   140008,,2
4637,JE-CRC301-TT-110055,C301PI   140008,,5
4638,JE-CRC301-TT-030144,C301PT   010281,,5
4639,JE-CRC301-UZ-03021,C301PI   010281,,2
4640,JE-CRC301-TT-030042,C301FO   010196,,5
4641,JE-CRC301-PT-210002A,C301PT   010282,,3
4642,JE-CRC301-PT-030071,C301PI   010282,,3
4643,JE-CRC301-XV-160023,C301PG   010144,,2
4644,JE-CRC301-TE-040074,C301PT   010283,,1
4645,JE-CRC301-FIF-210007,C301PG   010147,,2
4646,JE-CRC301-UZ-17204,C301PI   010283,,2
4647,JE-CRC301-FO-150030,C301PT   010284,,2
4648,JE-CRC301-TT-110056,C301PI   010284,,5
4649,JE-CRC301-TG-020049,C301PT   010285,,2
4650,JE-CRC301-TI-040077,C301PI   010285,,2
4651,JE-CRC301-PIC-030191,C301FI   010168,,2
4652,JE-CRC301-FV-110003,C301PT   010286,,2
4653,JE-CRC301-FT-020022,C301PI   010286,,2
4654,JE-CRC301-LG-177002,C301PT   010287,,2
4655,JE-CRC301-TI-020005BE,C301PG   010153,,2
4656,JE-CRC301-LIC-050021,C301PI   010287,,2
4657,JE-CRC301-FHS-400075,C301PT   010288,,2
4658,JE-CRC301-PV-172006A,C301PI   010288,,2
4659,JE-CRC301-UZ-15013,C301FE   010167,,2
4660,JE-CRC301-FO-110031,C301PT   010289,,2
4661,JE-CRC301-TI-190049,C301FT   010167,,2
4662,JE-CRC301-PCV-177041,C301TW   190001,,2
4663,JE-CRC301-PT-090096,C301TE   190001,,3
4664,JE-CRC301-TT-400003,C301TT   190001,,5
4665,JE-CRC301-AE-120002,C301TI   190001,,2
4666,JE-CRC301-TV-140050,C301FI   010167,,2
4667,JE-CRC301-PV-175026A,C301PI   010289,,2
4668,JE-CRC301-TE-180030,C301FY   010167,,1
4669,JE-CRC301-UZ-02013,C301PT   010290,,2
4670,JE-CRC301-PIC-090038,C301PI   010290,,2
4671,JE-CRC301-TZ-150001,C301PT   010202,,2
4672,JE-CRC301-LI-171008A,C301PIC  010202A,,2
4673,JE-CRC301-TE-130090,C301TW   190003,,1
4674,JE-CRC301-PSV-020174,C301TE   190003,,4
4675,JE-CRC301-TT-020071,C301TT   190003,,5
4676,JE-CRC301-FI-130048,C301TI   190003,,2
4677,JE-CRC301-TI-176528A,C301FE   190001,,2
4678,JE-CRC301-TE-110042B,C301FT   190001,,1
4679,JE-CRC301-PV-080031,C301FIC  190001,,2
4680,JE-CRC301-EV-400030,C301FY   190001,,2
4681,JE-CRC301-TT-030117,C301DY   010101,,5
4682,JE-CRC301-PT-172019,C301PG   010157,,3
4683,JE-CRC301-FY-060007A,C301PT   010201A,,2
4684,JE-CRC301-TV-070004,C301PG   010156,,2
4685,JE-CRC301-PT-400204,C301PT   010201B,,3
4686,JE-CRC301-XZLO-050015A,C301PT   010201C,,2
4687,JE-CRC301-TI-180019,C301PALL 010201,,2
4688,JE-CRC301-LI-170009B,C301PG   010122,,2
4689,JE-CRC301-PCV-177085,C301PI   010201A,,2
4690,JE-CRC301-XV-120013,C301PI   010201B,,2
4691,JE-CRC301-FO-190021,C301PI   010201C,,2
4692,JE-CRC301-PDT-030086,C301PG   010126,,2
4693,JE-CRC301-PSV-080141,C301LT   140005A,,4
4694,JE-CRC301-PT-120045A,C301LIC  140005,,3
4695,JE-CRC301-AY-010003,C301LV   140005,,2
4696,JE-CRC301-FI-180501B,C301LT   140005B,,2
4697,JE-CRC301-LG-120006,C301LHS  140005,,2
4698,JE-CRC301-TT-030137,C301PG   010124,,5
4699,JE-CRC301-PSV-060030,C301PI   010134,,4
4700,JE-CRC301-PSV-030195,C301TG   140012,,4
4701,JE-CRC301-TIC-172015,C301FE   190003,,2
4702,JE-CRC301-PSE-020080,C301FT   190003,,2
4703,JE-CRC301-M-130002B,C301FIC  190003,,2
4704,JE-CRC301-XV-080006,C301FY   190003,,2
4705,JE-CRC301-FV-190010,C301PG   010128,,2
4706,JE-CRC301-PDV-020048,C301TG   140013,,2
4707,JE-CRC301-TE-170009,C301PT   010232,,1
4708,JE-CRC301-UZ-09004,C301PI   010232,,2
4709,JE-CRC301-TE-200061,C301PT   010234,,1
4710,JE-CRC301-LT-090015C,C301PI   010234,,2
4711,JE-CRC301-PDT-020111,C301LG   140006,,2
4712,JE-CRC301-PSV-150033B,C301XV   190001,,4
4713,JE-CRC301-PSV-080133A,C301XY   190001A,,4
