,spi_sort,spid_sort,score_sort,similarity_flag
154,C301XV 060008,JE CRC301 XV 060001,75,0
155,C301XY 060008A,JE CRC301 XV 060008,73,0
156,C301XY 060008A,JE CRC301 FY 060003,67,0
157,C301XY 060008A,JE CRC301 XV 090008,67,0
158,C301XY 060008A,JE CRC301 FE 060008,67,0
159,C301XY 060008A,CRC301 AI 030050,67,0
160,C301XZSO 060008,JE CRC301 XZSO 090007,72,0
161,C301XZSO 060008,JE CRC301 XV 060008,71,0
162,C301XZSO 060008,JE CRC301 XZSO 050018B,70,0
163,C301XZSO 060008,JE CRC301 XZSO 200003A,70,0
164,C301XZSO 060008,JE CRC301 EZSO 090008B,70,0
165,C301XZLO 060008,JE CRC301 XZLC 060010,72,0
166,C301XZLO 060008,JE CRC301 XV 060008,71,0
167,C301XZLO 060008,JE CRC301 XZLO 070004A,70,0
168,C301XZLO 060008,JE CRC301 LIC 060008,69,0
169,C301XZLO 060008,JE CRC301 XZLC 060011,67,0
170,C301XZSC 060008,JE CRC301 XZLC 060010,72,0
171,C301XZSC 060008,JE CRC301 XZSC 070003,72,0
172,C301XZSC 060008,JE CRC301 XZSC 050018,72,0
173,C301XZSC 060008,JE CRC301 XZSC 090005,72,0
174,C301XZSC 060008,JE CRC301 XV 060008,71,0
175,C301XZLC 060008,JE CRC301 XZLC 060010,78,0
176,C301XZLC 060008,JE CRC301 LIC 060008,74,0
177,C301XZLC 060008,JE CRC301 XZLC 060011,72,0
178,C301XZLC 060008,JE CRC301 EZLC 090008,72,0
179,C301XZLC 060008,JE CRC301 XV 060008,71,0
180,C301XV 060009,CRC301 HV 050009,76,0
181,C301XV 060009,JE CRC301 XV 060004,75,0
182,C301XV 060009,JE CRC301 XV 060008,75,0
183,C301XV 060009,JE CRC301 XV 160009,75,0
184,C301XV 060009,JE CRC301 XV 060001,75,0
185,C301XY 060009A,CRC301 HY 050009,73,0
186,C301XY 060009A,JE CRC301 FY 060003,67,0
187,C301XY 060009A,CRC301 AI 030050,67,0
188,C301XY 060009A,CRC301 AT 030050,67,0
189,C301XY 060009A,JE CRC301 XV 060004,67,0
190,C301XZSO 060009,JE CRC301 XZSO 090007,72,0
191,C301XZSO 060009,JE CRC301 XZSO 050019A,70,0
192,C301XZSO 060009,JE CRC301 XZSO 200003A,70,0
193,C301XZSO 060009,JE CRC301 XZLC 060010,67,0
194,C301XZSO 060009,JE CRC301 XZSC 070003,67,0
195,C301XZLO 060009,JE CRC301 XZLC 060010,72,0
196,C301XZLO 060009,JE CRC301 XZLO 070004A,70,0
197,C301XZLO 060009,JE CRC301 XZLC 060011,67,0
198,C301XZLO 060009,JE CRC301 XZSO 090007,67,0
199,C301XZLO 060009,JE CRC301 XZLO 140006,67,0
200,C301XZSC 060009,JE CRC301 XZLC 060010,72,0
201,C301XZSC 060009,JE CRC301 XZSC 070003,72,0
202,C301XZSC 060009,JE CRC301 XZSC 090005,72,0
203,C301XZSC 060009,JE CRC301 EZSC 090001,67,0
204,C301XZSC 060009,JE CRC301 XZLC 060011,67,0
205,C301XZLC 060009,JE CRC301 XZLC 060010,78,0
206,C301XZLC 060009,JE CRC301 XZLC 060011,72,0
207,C301XZLC 060009,JE CRC301 LIC 060010,69,0
208,C301XZLC 060009,JE CRC301 LIC 060008,69,0
209,C301XZLC 060009,JE CRC301 LIC 050009,69,0
210,C301PA 060001,CRC301 PI 060017A,73,0
211,C301PA 060001,JE CRC301 TI 060001,69,0
212,C301PA 060001,JE CRC301 M 060001B,69,0
213,C301PA 060001,JE CRC301 PV 060014,69,0
214,C301PA 060001,JE CRC301 PT 060014,69,0
215,C301PSV 060011A,CRC301 PI 060017A,75,0
216,C301PSV 060011A,JE CRC301 PSV 110011A,72,0
217,C301PSV 060011A,JE CRC301 PSV 030013A,72,0
218,C301PSV 060011A,JE CRC301 PSV 080114A,72,0
219,C301PSV 060011A,JE CRC301 PV 060014,71,0
220,C301TW 060003,JE CRC301 FT 060007,69,0
221,C301TW 060003,JE CRC301 FY 060003,69,0
222,C301TW 060003,JE CRC301 PT 400003,69,0
223,C301TW 060003,JE CRC301 TG 030003,69,0
224,C301TW 060003,JE CRC301 TI 060010,69,0
225,C301TE 060003,JE CRC301 FT 060007,75,0
226,C301TE 060003,JE CRC301 FY 060003,75,0
227,C301TE 060003,JE CRC301 TE 080003,75,0
228,C301TE 060003,JE CRC301 HS 060003,75,0
229,C301TE 060003,JE CRC301 FT 060004,75,0
230,C301TT 060003A,JE CRC301 TT 060001AH,74,0
231,C301TT 060003A,JE CRC301 TT 060001AC,74,0
232,C301TT 060003A,JE CRC301 TT 060005,73,0
233,C301TT 060003A,JE CRC301 TT 060013,73,0
234,C301TT 060003A,JE CRC301 TT 060010,73,0
235,C301TI 060003A,JE CRC301 LI 060003A,76,0
236,C301TI 060003A,JE CRC301 TI 060001AC,74,0
237,C301TI 060003A,JE CRC301 TI 060001BA,74,0
238,C301TI 060003A,JE CRC301 TI 060010,73,0
239,C301TI 060003A,JE CRC301 TI 060001,73,0
240,C301TW 060004,JE CRC301 FT 060004,75,0
241,C301TW 060004,JE CRC301 FT 060007,69,0
242,C301TW 060004,JE CRC301 TI 060010,69,0
243,C301TW 060004,JE CRC301 TY 040004,69,0
244,C301TW 060004,JE CRC301 TI 060001,69,0
245,C301TE 060004,JE CRC301 FT 060004,81,0
246,C301TE 060004,JE CRC301 FT 060007,75,0
247,C301TE 060004,JE CRC301 TE 080004,75,0
248,C301TE 060004,JE CRC301 XV 060004,75,0
249,C301TE 060004,JE CRC301 FT 080004,75,0
250,C301TT 060004,JE CRC301 TT 060005,75,0
251,C301TT 060004,JE CRC301 FT 060004,75,0
252,C301TT 060004,JE CRC301 TT 060010,75,0
253,C301TT 060004,CRC301 TT 090001B,73,0
254,C301TT 060004,JE CRC301 TT 060001AH,71,0
255,C301TI 060004,JE CRC301 TI 060010,75,0
256,C301TI 060004,JE CRC301 TI 060001,75,0
257,C301TI 060004,JE CRC301 FT 060004,75,0
258,C301TI 060004,JE CRC301 TI 090004B,73,0
259,C301TI 060004,JE CRC301 TI 060002B,73,0
260,C301TW 060005,JE CRC301 TT 060005,75,0
261,C301TW 060005,JE CRC301 TT 050005,69,0
262,C301TW 060005,JE CRC301 FT 060007,69,0
263,C301TW 060005,JE CRC301 TE 050005,69,0
264,C301TW 060005,JE CRC301 TI 060010,69,0
265,C301TE 060005,JE CRC301 FT 060007,75,0
266,C301TE 060005,JE CRC301 TE 050005,75,0
267,C301TE 060005,JE CRC301 FT 080005,75,0
268,C301TE 060005,JE CRC301 TT 060005,75,0
269,C301TE 060005,JE CRC301 FT 040005,75,0
270,C301TT 060005,JE CRC301 TT 060005,81,0
271,C301TT 060005,JE CRC301 TT 050005,75,0
272,C301TT 060005,JE CRC301 TT 090005,75,0
273,C301TT 060005,JE CRC301 TT 060010,75,0
274,C301TT 060005,CRC301 TT 090001B,73,0
275,C301TI 060005,JE CRC301 TI 060010,75,0
276,C301TI 060005,JE CRC301 TI 060001,75,0
277,C301TI 060005,JE CRC301 TT 060005,75,0
278,C301TI 060005,JE CRC301 TI 060025,75,0
279,C301TI 060005,JE CRC301 TI 090005A,73,0
280,C301TW 060006,JE CRC301 TW 090061,69,0
281,C301TW 060006,JE CRC301 TT 040006,69,0
282,C301TW 060006,JE CRC301 FT 070006,69,0
283,C301TW 060006,JE CRC301 FT 060007,69,0
284,C301TW 060006,JE CRC301 FT 400006,69,0
285,C301TE 060006,JE CRC301 FT 070006,75,0
286,C301TE 060006,JE CRC301 FT 060007,75,0
287,C301TE 060006,JE CRC301 FT 400006,75,0
288,C301TE 060006,JE CRC301 FT 060004,75,0
289,C301TE 060006,JE CRC301 FE 060006,75,0
290,C301TT 060006,JE CRC301 TT 040006,75,0
291,C301TT 060006,JE CRC301 TT 060005,75,0
292,C301TT 060006,JE CRC301 TT 400006,75,0
293,C301TT 060006,JE CRC301 TT 060016,75,0
294,C301TT 060006,JE CRC301 TT 060010,75,0
295,C301TI 060006,JE CRC301 TI 060010,75,0
296,C301TI 060006,JE CRC301 TI 060001,75,0
297,C301TI 060006,JE CRC301 TI 040006,75,0
298,C301TI 060006,JE CRC301 TI 020006,75,0
299,C301TI 060006,JE CRC301 TI 050006,75,0
300,C301TW 060007,JE CRC301 FT 060007,75,0
301,C301TW 060007,JE CRC301 FT 040007,69,0
302,C301TW 060007,JE CRC301 TT 050007,69,0
303,C301TW 060007,JE CRC301 TI 060010,69,0
304,C301TW 060007,JE CRC301 FE 060007,69,0
305,C301TE 060007,JE CRC301 FT 060007,81,0
306,C301TE 060007,JE CRC301 FT 040007,75,0
307,C301TE 060007,JE CRC301 FE 060007,75,0
308,C301TE 060007,JE CRC301 FT 060004,75,0
309,C301TE 060007,JE CRC301 FY 060007B,73,0
310,C301TT 060007,JE CRC301 TT 050007,75,0
311,C301TT 060007,JE CRC301 FT 060007,75,0
312,C301TT 060007,JE CRC301 TT 060005,75,0
313,C301TT 060007,JE CRC301 TT 200007,75,0
314,C301TT 060007,JE CRC301 TT 060010,75,0
315,C301TI 060007,JE CRC301 FT 060007,75,0
316,C301TI 060007,JE CRC301 TI 060010,75,0
317,C301TI 060007,JE CRC301 TI 060001,75,0
318,C301TI 060007,CRC301 PI 060017A,73,0
319,C301TI 060007,JE CRC301 TIC 200007,73,0
320,C301TW 060008,JE CRC301 FT 060007,69,0
321,C301TW 060008,JE CRC301 TI 060010,69,0
322,C301TW 060008,JE CRC301 FE 060008,69,0
323,C301TW 060008,JE CRC301 TI 060001,69,0
324,C301TW 060008,JE CRC301 TI 040008,69,0
325,C301TE 060008,JE CRC301 FT 060007,75,0
326,C301TE 060008,JE CRC301 FE 060008,75,0
327,C301TE 060008,JE CRC301 TE 030008,75,0
328,C301TE 060008,JE CRC301 TE 200008,75,0
329,C301TE 060008,JE CRC301 XV 060008,75,0
330,C301TT 060008,JE CRC301 TT 060005,75,0
331,C301TT 060008,JE CRC301 TT 040008,75,0
332,C301TT 060008,JE CRC301 TT 060010,75,0
333,C301TT 060008,CRC301 TT 090001B,73,0
334,C301TT 060008,JE CRC301 TT 060001AH,71,0
335,C301TI 060008,JE CRC301 TI 060010,75,0
336,C301TI 060008,JE CRC301 TI 060001,75,0
337,C301TI 060008,JE CRC301 TI 040008,75,0
338,C301TI 060008,JE CRC301 TI 080008,75,0
339,C301TI 060008,JE CRC301 LIC 060008,73,0
340,C301TW 060001,JE CRC301 TI 060001,75,0
341,C301TW 060001,CRC301 TT 090001B,73,0
342,C301TW 060001,JE CRC301 TI 060001AC,71,0
343,C301TW 060001,JE CRC301 TT 060001AH,71,0
344,C301TW 060001,JE CRC301 TI 060001BG,71,0
345,C301TE 060001,JE CRC301 FT 060007,75,0
346,C301TE 060001,JE CRC301 TI 060001,75,0
347,C301TE 060001,JE CRC301 M 060001B,75,0
348,C301TE 060001,JE CRC301 TE 060012,75,0
349,C301TE 060001,JE CRC301 FT 060004,75,0
350,C301TT 060001,CRC301 TT 090001B,80,0
351,C301TT 060001,JE CRC301 TT 060001AH,76,0
352,C301TT 060001,JE CRC301 TT 060001BB,76,0
353,C301TT 060001,JE CRC301 TT 060001AC,76,0
354,C301TT 060001,JE CRC301 TI 060001,75,0
355,C301TI 060001,JE CRC301 TI 060001,81,0
356,C301TI 060001,JE CRC301 TI 060001AC,76,0
357,C301TI 060001,JE CRC301 TI 060001BG,76,0
358,C301TI 060001,JE CRC301 TI 060001BA,76,0
359,C301TI 060001,CRC301 TI 090021,76,0
360,C301TW 060010,JE CRC301 TI 060010,75,0
361,C301TW 060010,JE CRC301 TT 060010,75,0
362,C301TW 060010,CRC301 TT 030170,69,0
363,C301TW 060010,JE CRC301 TW 090061,69,0
364,C301TW 060010,JE CRC301 FT 060007,69,0
365,C301TE 060010,JE CRC301 FT 060007,75,0
366,C301TE 060010,JE CRC301 TE 020010,75,0
367,C301TE 060010,JE CRC301 TE 090010,75,0
368,C301TE 060010,JE CRC301 TI 060010,75,0
369,C301TE 060010,JE CRC301 TE 060012,75,0
370,C301TT 060010,JE CRC301 TT 060010,81,0
371,C301TT 060010,CRC301 TT 030170,76,0
372,C301TT 060010,JE CRC301 TI 060010,75,0
373,C301TT 060010,JE CRC301 TT 060005,75,0
374,C301TT 060010,JE CRC301 TT 060021,75,0
375,C301TI 060010,JE CRC301 TI 060010,81,0
376,C301TI 060010,CRC301 TI 090021,76,0
377,C301TI 060010,JE CRC301 TI 060001,75,0
378,C301TI 060010,JE CRC301 TT 060010,75,0
379,C301TI 060010,CRC301 PI 060017A,73,0
380,C301TW 060012,JE CRC301 TE 060012,75,0
381,C301TW 060012,JE CRC301 PT 060012C,73,0
382,C301TW 060012,JE CRC301 TW 090061,69,0
383,C301TW 060012,JE CRC301 LT 080012,69,0
384,C301TW 060012,JE CRC301 TI 060010,69,0
385,C301TE 060012,JE CRC301 TE 060012,81,0
386,C301TE 060012,CRC301 TE 030172,76,0
387,C301TE 060012,JE CRC301 TE 070012,75,0
388,C301TE 060012,JE CRC301 FT 160012,75,0
389,C301TE 060012,JE CRC301 TE 060021,75,0
390,C301TT 060012,JE CRC301 TE 060012,75,0
391,C301TT 060012,JE CRC301 TT 060021,75,0
392,C301TT 060012,JE CRC301 TT 060013,75,0
393,C301TT 060012,JE CRC301 TT 060016,75,0
394,C301TT 060012,JE CRC301 TT 090012,75,0
395,C301TI 060012,CRC301 TI 090021,76,0
396,C301TI 060012,JE CRC301 TI 060010,75,0
397,C301TI 060012,JE CRC301 TI 060001,75,0
398,C301TI 060012,JE CRC301 TE 060012,75,0
399,C301TI 060012,JE CRC301 TI 060025,75,0
400,C301TW 060013,JE CRC301 TT 060013,75,0
401,C301TW 060013,JE CRC301 TW 090061,69,0
402,C301TW 060013,JE CRC301 TE 030013,69,0
403,C301TW 060013,JE CRC301 TE 050013,69,0
404,C301TW 060013,JE CRC301 TT 160013,69,0
405,C301TE 060013,JE CRC301 TE 030013,75,0
406,C301TE 060013,JE CRC301 TE 050013,75,0
407,C301TE 060013,JE CRC301 TE 060012,75,0
408,C301TE 060013,JE CRC301 TT 060013,75,0
409,C301TE 060013,JE CRC301 TE 060021,75,0
410,C301TT 060013,JE CRC301 TT 060013,81,0
411,C301TT 060013,JE CRC301 TT 160013,75,0
412,C301TT 060013,JE CRC301 TT 200013,75,0
413,C301TT 060013,JE CRC301 TT 060021,75,0
414,C301TT 060013,JE CRC301 TT 060016,75,0
415,C301TI 060013,CRC301 TI 090021,76,0
416,C301TI 060013,JE CRC301 TI 060010,75,0
417,C301TI 060013,JE CRC301 TI 060001,75,0
418,C301TI 060013,JE CRC301 TT 060013,75,0
419,C301TI 060013,CRC301 PI 060017A,73,0
420,C301TW 060016,JE CRC301 TT 060016,75,0
421,C301TW 060016,JE CRC301 TW 090061,69,0
422,C301TW 060016,JE CRC301 FT 020016,69,0
423,C301TW 060016,CRC301 TE 030176,69,0
424,C301TW 060016,JE CRC301 TI 060010,69,0
425,C301TE 060016,CRC301 TE 030176,76,0
426,C301TE 060016,JE CRC301 FT 020016,75,0
427,C301TE 060016,JE CRC301 TE 020016,75,0
428,C301TE 060016,JE CRC301 FT 030016,75,0
429,C301TE 060016,JE CRC301 TE 060012,75,0
430,C301TT 060016,JE CRC301 TT 060016,81,0
431,C301TT 060016,JE CRC301 TT 060021,75,0
432,C301TT 060016,JE CRC301 TT 060013,75,0
433,C301TT 060016,JE CRC301 TT 060010,75,0
434,C301TT 060016,CRC301 TT 090001B,73,0
435,C301TI 060016,CRC301 TI 090021,76,0
436,C301TI 060016,JE CRC301 TI 060010,75,0
437,C301TI 060016,JE CRC301 TI 060001,75,0
438,C301TI 060016,JE CRC301 TT 060016,75,0
439,C301TI 060016,CRC301 PI 060017A,73,0
440,C301PT 060013,JE CRC301 PT 070013,75,0
441,C301PT 060013,JE CRC301 TT 060013,75,0
442,C301PT 060013,JE CRC301 PT 060014,75,0
443,C301PT 060013,CRC301 PI 060017A,73,0
444,C301PT 060013,JE CRC301 PT 060012C,73,0
445,C301PIC 060013,JE CRC301 PIC 060013,82,1
446,C301PIC 060013,CRC301 PI 060017A,77,0
447,C301PIC 060013,JE CRC301 PIC 060014,76,0
448,C301PIC 060013,JE CRC301 PIC 070001,71,0
449,C301PIC 060013,JE CRC301 PIC 020153,71,0
450,C301PV 060013,JE CRC301 PV 060014,75,0
451,C301PV 060013,CRC301 PI 060017A,73,0
452,C301PV 060013,JE CRC301 PSV 060039,73,0
453,C301PV 060013,JE CRC301 PIC 060013,73,0
454,C301PV 060013,JE CRC301 PSV 030013A,71,0
455,C301PT 060014,JE CRC301 PT 060014,81,0
456,C301PT 060014,JE CRC301 PV 060014,75,0
457,C301PT 060014,JE CRC301 PIC 060014,73,0
458,C301PT 060014,CRC301 PI 060017A,73,0
459,C301PT 060014,JE CRC301 PT 060012C,73,0
460,C301PIC 060014,JE CRC301 PIC 060014,82,1
461,C301PIC 060014,CRC301 PI 060017A,77,0
462,C301PIC 060014,JE CRC301 PIC 060013,76,0
463,C301PIC 060014,JE CRC301 PV 060014,73,0
464,C301PIC 060014,JE CRC301 PT 060014,73,0
465,C301PV 060014,JE CRC301 PV 060014,81,0
466,C301PV 060014,JE CRC301 PT 060014,75,0
467,C301PV 060014,JE CRC301 PIC 060014,73,0
468,C301PV 060014,JE CRC301 PSV 060040,73,0
469,C301PV 060014,CRC301 PI 060017A,73,0
470,C301PT 060012A,CRC301 PI 060017A,77,0
471,C301PT 060012A,JE CRC301 PT 060012C,76,0
472,C301PT 060012A,CRC301 PDT 020101A,75,0
473,C301PT 060012A,JE CRC301 TE 060012,73,0
474,C301PT 060012A,JE CRC301 PT 060014,73,0
475,C301PT 060012B,JE CRC301 PT 060012C,76,0
476,C301PT 060012B,JE CRC301 TE 060012,73,0
477,C301PT 060012B,JE CRC301 PT 060014,73,0
478,C301PT 060012B,CRC301 PI 060017A,71,0
479,C301PT 060012B,CRC301 TT 090001B,71,0
480,C301PT 060012C,JE CRC301 PT 060012C,82,1
481,C301PT 060012C,JE CRC301 TE 060012,73,0
482,C301PT 060012C,JE CRC301 PT 060014,73,0
483,C301PT 060012C,CRC301 PI 060017A,71,0
484,C301PT 060012C,CRC301 TT 090021C,71,0
485,C301PAHH 060012,CRC301 PI 060017A,69,0
486,C301PAHH 060012,JE CRC301 PT 060012C,69,0
487,C301PAHH 060012,JE CRC301 PV 060014,65,0
488,C301PAHH 060012,JE CRC301 TE 060012,65,0
489,C301PAHH 060012,JE CRC301 PT 060014,65,0
490,C301PI 060012A,CRC301 PI 060017A,84,1
491,C301PI 060012A,CRC301 PDI 020101A,75,0
492,C301PI 060012A,JE CRC301 PIC 060014,71,0
493,C301PI 060012A,JE CRC301 PI 176002A,71,0
494,C301PI 060012A,JE CRC301 PI 060037A,71,0
495,C301PI 060012B,CRC301 PI 060017A,77,0
496,C301PI 060012B,JE CRC301 PIC 060014,71,0
497,C301PI 060012B,JE CRC301 PT 060012C,71,0
498,C301PI 060012B,JE CRC301 PDI 060010,71,0
499,C301PI 060012B,JE CRC301 TI 060002B,71,0
500,C301PI 060012C,CRC301 PI 060017A,77,0
