PID,SPI,PDS
JE-CRC301-PIC-180008,C301TE   060016,ME-CRC301-Y003
JE-CRC301-TG-160032,C301TT   060016,CRC301-F-70024
JE-CRC301-TT-172044A,C301TI   060016,CRC30-1-F15000
JE-CRC301-FO-080061,C301PT   060013,CRC301-1-30038
JE-CRC301-UZ-17020,C301PIC  060013,C301XZSC130011
JE-CRC301-TE-130024,C301PV   060013,C301HS030004BB
JE-CRC301-FT-400041,C301PT   060014,C301EHS180001D
JE-CRC301-LHS-130001,C301PIC  060014,FO171010.75CYL
JE-CRC301-TE-130084,C301PV   060014,301-TT-300836B
JE-CRC301-FIF-173006,C301PT   060012A,C301AT   010504
JE-CRC301-FY-190064,C301PT   060012B,C301AXA  020013
JE-CRC301-M-150003B,C301PT   060012C,C301BZSLL010131
JE-CRC301-TI-120013,C301PAHH 060012,C301DAGC 060260
JE-CRC301-TI-176528B,C301PI   060012A,CRC301-AB0002-B
JE-CRC301-LIC-170001,C301PI   060012B,301-EHSO-020005
JE-CRC301-TE-172031,C301PI   060012C,JC301-SPPS-2618
JE-CRC301-PG-140013,C301PDT  060008,PDT-050035A/IND
JE-CRC301-LG-080022,C301PDI  060008,FV-050014A/1GL1
JE-CRC301-PT-180029B,C301PDT  060009,AS23-PDP31A-JB1
JE-CRC301-TSV-210009,C301PDI  060009,RPMS-SD-J55-131
JE-CRC301-FV-030018,C301PDT  060010,C301XZSC 173502B
JE-CRC301-XV-170009,C301PDI  060010,C301ZT   030534B
JE-CRC301-TE-090501A,C301TW   060002,C301ASL  130005C
JE-CRC301-FE-020022,C301TE   060002,JWCRC301S100101A
JE-CRC301-PDT-030018,C301TT   060002A,JC-CRC301-300L01
JE-CRC301-PDG-040002,C301TI   060002A,CRC301-A-010407A
JE-CRC301-TE-040077,C301TY   060002,ES-CRC301-001-B7
JE-CRC301-UZ-09007,C301TDIC 060002,PT-CRC301-090013
JE-CRC301-LI-120032A,C301AE   060003A,301-XHSC-160018B
CRC301-UZ-03006,C301AE   060003B,C301XZSO 010105SA
JE-CRC301-TT-130080B,C301AT   060003A,C301AT   060003AB
JE-CRC301-LG-160016,C301AI   060003AA,MFEC-CRC301-004PH
JE-CRC301-THS-190033,C301FE   060001,JWCRC301S100115A 
JE-CRC301-PT-020089,C301FT   060001,ES-CRC301-001.ABN
JE-CRC301-PIC-070001,C301FIC  060001,MC-CRC301-M030001
JE-CRC301-PSV-200059,C301FV   060001,JC-CRC301-010LD15
JE-CRC301-TE-030033,C301FE   060002,JB-CRC301-A0007-F
JE-CRC301-XV-030020,C301FT   060002,C301LT 172001/IND
JE-CRC301-PDG-140020,C301FIC  060002,GS-MC301BAXS1-450
JE-CRC301-TI-030154,C301FV   060002,PSV-150075/2PRVA1
JE-CRC301-TT-050007,C301FE   060008,ET-CRC301-011-LCS
JE-CRC301-FO-090007,C301FT   060008,J55-CRC301-000796
JE-CRC301-PIC-020153,C301FIC  060008,CRC301-F-O030608A
JE-CRC301-TI-130123,C301FV   060008,CRC301-T-090534AA
JE-CRC301-TT-130064A,C301FE   060009,MH-CRC301-M160001
JE-CRC301-TT-200068B,C301FT   060009,ES-CRC301-004-8FB
JE-CRC301-PSV-060040,C301FIC  060009,JWCRC301BC00453E1
JE-CRC301-PT-150086,C301FV   060009,JWCRC301CE0001FFD
JE-CRC301-PV-175010,C301FE   060010,JB-CRC301-AH3008-E
